ISO ALPHA-3 code,WHO Region,Country,Antenatal care coverage (%) -  at least 4 visits (any provider),See notes=1,Data coverage period start year,Data coverage period end year,Survey start year,Survey end year,Sample size; 0=no sample size provided,Source,1=source verified; 2=source not verified,Notes,Source code: 1=survey; 2=adm.; 3=other,Age if not 15-49 years
AFG ,EMRO,Afghanistan,14.6,,2008,2011,2010,2011,4865,"Central Statistics Organisation (CSO) and UNICEF. Afghanistan Multiple Indicator Cluster Survey 2010-2011: Final Report. Kabul: Central Statistics Organisation (CSO) and UNICEF, 2012.",1,,1,
AFG ,EMRO,Afghanistan,16.1,1,2005,2010,2010,2010,16998,"Afghan Public Health Institute, Ministry of Public Health (APHI/MoPH) [Afghanistan], Central Statistics Organization (CSO) [Afghanistan], ICF Macro, Indian Institute of Health Management Research (IIHMR) [India], and World Health Organization Regional Office for the Eastern Mediterranean (WHO/EMRO) [Egypt]. Afghanistan Mortality Survey 2010. Calverton, Maryland, USA: APHI/MoPH, CSO, ICF Macro, IIHMR and WHO/EMRO, 2011.",1,"The survey was completed in 87% of the country. However, the survey teams were unable to cover rural areas of Helmand, Kandahar and Zabul provinces for security reasons that account for 9% of the total population or one-third of the population of the south of Afghanistan. The insecurity compromised monitoring of field work especially in the South zone.",1,Dec-49
AFG ,EMRO,Afghanistan,9.9,,2006,2012,2011,2012,0,"Central Statistics Organization. National Risk and Vulnerability Assessment 2011-12. Afghanistan Living Condition Survey. Kabul, CSO; 2014.",1,,1,
AFG ,EMRO,Afghanistan,22.7,,2009,2014,2013,2014,0,"Central Statistics Organization (CSO). Afghanistan Living Conditions Survey 2013-14. Kabul: National Risk and Vulnerability Assessment, CSO; 2016.",1,,1,
AFG ,EMRO,Afghanistan,17.8,,2010,2015,2015,2015,31802,"Central Statistics Organization (CSO), Ministry of Public Health (MoPH), and ICF International. Afghanistan Demographic and Health Survey 2015: Key Indicators. Kabul, Afghanistan, and Rockville, Maryland USA: Central Statistics Organization, Ministry of Public Health, and ICF International; 2016.",1,,1,
ALB ,EURO,Albania,66.8,,2003,2009,2008,2009,1310,"Institute of Statistics, Institute of Public Health [Albania] and ICF Macro. Albania Demographic and Health Survey 2008-09. Tirana, Albania: Institute of Statistics, Institute of Public Health and ICF Macro, 2010.",1,,1,
DZA ,AFRO,Algeria,12.4,,1987,1992,1992,1992,605,"Ministère de la Santé et de la Population, Office National des Statistique, Ligue des Etats Arabes. Enquête Algerienne sur la Santé de la Mere et de l'Enfant. Rapport Principal. Algérie, 1993.",1,,1,
DZA ,AFRO,Algeria,67.3,,2010,2013,2012,2013,5891,"Ministère de la Santé, de la Population et de la Réforme Hospitalière, UNICEF, UNFPA. Enquête par Grappes à Indicateurs Multiples (MICS) 2012 - 2013, Rapport final. Algérie: Ministère de la Santé, de la Population et de la Réforme Hospitalière; 2015.",1,,1,
AND ,EURO,Andorra,no data,,,,,,,,,,,
AGO ,AFRO,Angola,31.5,1,1994,1996,1996,1996,1440,"National Statistics Office, UNICEF. Angola Multiple Indicator Survey 1996. Luanda, Angola, 1998.",1,5 or more consultations,1,
ATG ,AMRO,Antigua and Barbuda,100,,2010,2010,2010,2010,0,"Pan American Health Organization, Health Information and Analysis Project. Health Situation in the Americas: Basic Indicators 2011. Washington, D.C., United States of America; 2011.",2,,3,
ATG ,AMRO,Antigua and Barbuda,100,,2012,2013,2012,2013,0,"Pan American Health Organization/World Health Organization, Communicable Diseases and Health Analysis/Health Information and Analysis. Health Situation in the Americas: Basic Indicators 2013. Washington, D.C., United States of America, 2013. ",2,,3,
ATG ,AMRO,Antigua and Barbuda,100,,2011,2011,2011,2011,0,"Pan American Health Organization, Health Information and Analysis Project. Health Situation in the Americas: Basic Indicators 2012. Washington, D.C., United States of America, 2012.",2,,3,
ATG ,AMRO,Antigua and Barbuda,100,,2014,2014,2014,2014,0,"Pan American Health Organization/World Health Organization, Communicable Diseases and Health Analysis/Health Information and Analysis. Health Situation in the Americas: Basic Indicators 2015. Washington, D.C., United States of America; 2015.",2,,3,
ARG ,AMRO,Argentina,89.3,1,2002,2005,2004,2005,0,"Ministerio de Salud, Presidencia de la Nación. Encuesta Naional de Nutrición y Salud: Documento y Resultados 2007. ",1,5 or more consultations,1,Oct-49
ARG ,AMRO,Argentina,89.8,,2009,2012,2011,2012,1297737,"Ministerio de la Desarrollo de la Nación, UNICEF. Argentina, Encuesta de Indicadores Múltiples por Conglomerados (MICS) 2011/2012. Informe final. UNICEF: Buenos Aires, Argentina; 2013.",1,,2,
ARM ,EURO,Armenia,64.7,,1995,2000,2000,2000,1248,"National Statistical Service [Armenia], Ministry of Health [Armenia], and ORC Macro. Armenia Demographic and Health Survey 2000. Calverton, Maryland: National Statistical Service, Ministry of Health, and ORC Macro, 2001.",1,,1,
ARM ,EURO,Armenia,70.9,,2000,2005,2005,2005,1097,"National Statistical Service [Armenia], Ministry of Health [Armenia], and ORC Macro. Armenia Demographic and Health Survey 2005. Calverton, Maryland: National Statistical Service, Ministry of Health, and ORC Macro, 2006.",1,,1,
ARM ,EURO,Armenia,92.8,,2005,2010,2010,2010,1151,"National Statistical Service [Armenia], Ministry of Health [Armenia], ICF International. Armenia Demographic and Health Survey 2010. Calverton, Maryland: National Statistical Service, Ministry of Health, ICF International; 2012.",1,,1,
